Überschrift;Text
Tageshoroskop;Heute Nacht ist Vollmond, trage Knoblauch und ein Kreuz bei dir.
Tageshoroskop;Heute steht die Sonne hoch, so wie auch der Blutdruck eurer Patienten
Tageshoroskop;Der Mond scheint Hell, sowie auch euer Balulicht heute Nacht auf dem weg zur 421 mit 90 Jahren.
Tageshoroskop;Freundschaften halten nicht stand, Freundet euch nicht zu sehr mit der Couch an, ihr werdet sie vermissen!
Tageshoroskop;Netflix der Gott der Ablenkung bevorzugt euch, vermeidet es für Prüfungen und Unterichte zu lernen
Tageshoroskop;Schlangenträger hütet und betütet euch, Syphilis ist dein heutiger Feind
Tageshoroskop;Concordia die Göttin der Geschwindigkeit empfiehlt euch vermeidet Fahrten mit Überschall.
Tageshoroskop;Amor der Liebesgott rät dir, teile die 12 Stunden aber nicht den Schlafraum.
Tageshoroskop;Die Ringe des Saturns sind fast so groß wie die Ringe unter euren Augen - aber nur fast !
Tageshoroskop;Es ist eine Schwarze Nacht, daher streiken alle Kaffemaschinen im Umfeld!
Tageshoroskop;Ihr habt schlechtes Kama gesammelt, kein Zugang wird heute gelingen.
Spruch des Tages;Rosen sind Rot irgendwas ist lila, deine Pat haben heute nur Fieber
Spruch des Tages;Blut ist Rot deine Lippen sind lila, heute gibt’s ne Menge Mida
Tageshoroskop;Wenn ihr nach einem Zeichen für Veränderungen sucht,  das ist dieses Zeichen.
Spruch des Tages;Krankmeldungen sind wie gute Freunde, sie kommen meist am Morgen oder Abends 
Spruch des Tages;Hinterlasse heute keine Spuren, ein Ermittlungsverfahren kommt auf dich zu 
Spruch des Tages;Messer, Schere, Gabel, Licht Arbeiten gefällt uns nicht .
Spruch des Tages;Lirum Larum Löffelstiel ich bin geistig instabil
Fakt des Tages;Der Penis eines Blauwals kann tatsächlich bis zu 3 Meter lang werden
Fakt des Tages;In Ohio ist es gesetzlich verboten, Fische betrunken zu machen.
Fakt des Tages;Schildkröten atmen im Winterschlaf durch den Hintern
Fakt des Tages;Es gibt ein Bier, das aus Wal-Penis-Knochen gebraut wird. Es heißt „Hvalur“. Prost.
Fakt des Tages;In Island gibt’s ein Museum, das nur Penisse sammelt. Es heißt wirklich „Icelandic Phallological Museum“
Tageshoroskop;Der Mars steht heute im Quadrat zur Geduld. Bedeutet: Du wirst dreimal ausrücken – alle drei Male wegen 'Rückenschmerzen seit 2014'. Der Patient wiegt 140 kg, wohnt im Dachgeschoss, und der Aufzug ist natürlich 'gerade kaputt'.
Tageshoroskop;Amor der Liebesgott rät euch, teilt die 12 Stunden aber nicht den Schlafraum.
Tageshoroskop;Merkur steht rückläufig und euer Funkgerät auch. Heute wird keine Leitstelle euch verstehen.
Tageshoroskop;Ein ruhiger Tag kündigt sich an. Also vermutlich nicht für dich.
Tageshoroskop;Die Venus sendet euch Liebe, aber leider nur in Form eines Patienten, der 'einfach mal Gesellschaft wollte'. Viel Spaß beim Smalltalk über Katzen um 3:30 Uhr.
Tageshoroskop;Der Saturn steht heute schepp, also: alle Einsätze finden im obersten Stockwerk statt. Ohne Licht. Mit enge Treppe. Und der RTW steht natürlich falschrum in der Einbahnstraße.
